rssd9001,Affect
1056769,0.0
3555341,0.0
3219474,0.0
1916948,0.0
2482196,0.0
2236447,0.0
3121193,0.0
1097771,0.0
1245228,0.0
2891819,0.0
2818094,0.0
1048625,8.039757633333332e-06
1417267,0.0
1130548,0.0
2146359,0.0
1417276,0.0
3309629,0.0
1056835,0.0007992781749999999
1048652,0.0011277725871428573
2089036,0.002495556442857143
1138768,0.0
3244113,0.0
1130584,0.0
3104860,0.0
1048670,0.0018798838722222223
1138786,0.0
2326629,0.0
1138795,0.0
1245291,0.0
1417324,0.0
1097838,0.0
2621548,0.0
1204337,0.0
1417333,0.0
1122422,0.0
3219577,0.0
1204346,0.0
1417360,0.039000945
2687124,0.0
2384021,0.0005003465133333333
3170454,0.0
1048728,0.0
1417379,0.0
2990244,0.002493736925
2351274,0.0
1974443,3.881615941111111e-05
1138861,0.0
1048764,0.0
2638014,0.0
3137729,0.0
1081538,0.0
1097922,0.0
3367106,0.0
1048773,0.021077995410555557
1974470,0.0
2818245,0.0
1130696,0.0
1245385,0.0
1065163,0.0
1056974,0.0
2490575,9.360154066666667e-05
1106132,0.0
2728157,0.0
3326176,0.0
1048803,0.0
1138919,0.0
1245415,0.01701144690555556
3170539,0.0
1048812,0.0
3145966,0.0
1138928,0.0
3449075,
3375352,0.0
2523389,0.0
1097986,0.0
1245442,0.0
3375370,0.12758298
1138955,0.0
1081613,0.0
1032464,0.0
1048849,0.0
1245460,0.0
1401109,0.0
1081622,0.0
2162966,
1032473,0.1266539081666667
1048858,0.0
1130780,0.0030934324420588237
2752796,0.0
1401118,0.017671560611111112
1048867,3.172697522777778e-06
2900261,0.0
3014950,0.0
1245479,0.0
1417511,0.0
2244910,0.00143010285
1098031,0.0
3219764,0.0
3416376,0.0
1048894,0.0
3047743,0.0
3309889,0.0
1401154,0.0
2720067,0.0
1245509,0.0
1130829,0.0
2711887,0.0
1204560,0.0
2613589,0.0
1081686,0.0
2457943,0.0
2867542,0.0
1057113,0.0
2138466,0.0
2081124,0.0
1401190,0.0
1491306,0.0
1130865,0.0
1081716,0.0
3162486,0.0
2900355,0.0
1491333,0.0
1114502,0.0
1204618,0.0
1245581,0.0
1073551,0.05738592664705883
1204627,0.0
1245590,0.0
1491351,0.0
1081752,0.0
1130904,0.0
2908566,0.0
1139103,0.0
1491360,0.0
1065378,0.0
1048997,0.0
1098152,0.0
2810285,0.0
2507183,0.0
2367921,0.011354679333333334
3137970,
1130931,0.0
1245620,0.0048407049
1491409,0.0
1098198,0.0
2040288,0.0
1057252,0.0
2277860,0.001416344653125
1139176,0.0
1114605,0.0
1139185,0.0
3301883,0.0
3211777,0.0
3432965,0.0
1491463,0.0
1245705,0.0
2499082,0.0
1204748,0.0
2777614,0.0
1139215,2.108734658823529e-05
1081873,0.0
1491490,0.0
1122851,0.0
1106468,0.0
2621986,0.0
1204775,0.0
1139242,0.0
1245741,5.3081091999999994e-05
2859565,0.0
2630193,0.0
3195448,0.0
1057337,0.0
1139260,0.0
2744894,0.0
1098303,0.0
1131077,0.0007348225348823529
1204805,0.0
3138119,0.0
1204814,0.0
1139279,0.00010147485998823529
1966671,0.0
1106516,0.0005719694802572223
3449431,0.0
1073757,0.12970926055555554
2007647,0.0
1139297,0.0
2056805,0.0
2368106,0.001817681102
3023466,0.0
2687601,0.0
2384508,0.0
2728577,3.663112073333333e-06
1204869,0.0
3687046,0.0
1204878,0.0
1098385,0.0
1139345,0.0
2286228,0.0
1057430,0.0
1139354,0.00046053194
1491614,0.0
1917600,0.0
1139363,0.0
1098415,0.0
1491641,0.0
2237118,0.0
1966783,0.110232082185625
1491650,0.0
1106628,0.0
2589385,0.0
1082058,0.0
1082067,0.0
2253529,0.0
2360043,0.0
2343662,0.0
1049341,0.0012277430900000002
1123072,0.0
2540292,0.0
1139466,0.0
2155276,0.0
1098509,0.0
3212046,0.0
2269977,0.0
3719965,0.0
1205026,0.0
1123111,0.0
3162927,0.0
2900784,0.0
1139505,0.0
2687795,0.0
1057588,0.0
3719992,0.0
3212091,0.00073693815994375
1114940,0.0
1205053,0.0
3023680,0.00154005196
2351939,0.0
2851653,0.0
1139532,0.0
1925968,0.0
1057618,0.0
2925394,0.0
1098581,0.0
1139541,0.0
2728791,0.0
1491801,0.0
1098590,0.0
2925406,0.0
3031902,0.0
1082209,0.0
3547999,0.0006410156516666667
1999718,0.0
2868071,9.040574000000001e-05
3195756,0.0
1131376,0.0
2376567,0.0
1123193,0.0
2351993,0.0
1098620,0.0
3122051,0.0
1115013,0.0
2155397,0.0
1131406,0.0
2868110,0.0
1491856,0.0
1123223,0.0
1098648,0.0
3072923,0.0
3195804,0.0
1115040,0.0
1139617,0.0
2868129,0.0
1057702,0.0
1958827,0.0
2474931,0.0
1131451,0.0
3015612,0.0
1106879,0.0
1205183,0.0
1491913,0.0
1246159,0.03100660288235294
1098705,0.0
1131488,0.0
3269602,0.0
2728933,0.0
1131497,0.0
1074156,0.006413522716666666
1098732,0.0
1098741,0.0
2327541,0.0
3343351,0.0
1057784,0.0
1131518,0.0
1082375,0.0
1131527,0.0
3228681,0.0
1246216,0.03543572147058824
2958347,0.0
2507790,5.5645290266666666e-05
2868240,0.0
2909200,0.0
2589714,0.0
1066003,0.0
1205268,0.0
2835475,0.0
2065432,0.0
1082393,0.0
2860057,0.0
2294812,0.0
3228702,0.0
1098796,0.0
1246252,0.0
1106990,0.0
2270254,0.0
3327025,0.0
2532402,0.023883564406249995
1827893,0.0
1057850,0.0
2835514,0.0
2008130,0.0
3114056,0.0
1123401,0.0
1205325,0.0
1139792,0.0
1123410,0.0
1066067,0.0
1131602,0.0
2016340,0.0
2925657,0.0
1246298,0.0
1131611,0.0
1098844,0.0
1139804,0.0
2008158,0.0
2630746,0.0
2352226,0.0
1082469,0.0
1139813,0.0
1082478,0.0
2950257,0.0
1057908,0.0
1246328,0.0
1885307,9.788428333333333e-05
2180223,0.0
1098880,0.0
1139840,0.0
2876544,0.0
2360454,0.0
2180232,0.0
1057935,0.0
1131666,0.0
1205398,0.0
2352280,0.0
1139868,0.0
1975459,0.0
2639011,0.0
1057962,0.0
1246382,0.0
1098929,0.0
2704562,0.0
1057980,0.0
2860226,0.0
1115349,0.0
1139925,0.0
1066209,0.0
1205473,0.0
1049828,0.007117249388888889
1131750,0.0
1115367,0.0
2098412,0.0013861907833333331
1107184,0.0
1139952,0.0
1107193,0.0
1115385,0.0
1492219,0.0
1033470,0.053602631500000004
1860863,0.0
1131778,0.0
1246467,0.0
2745604,0.0
1107205,0.05243624227777779
1131787,0.03876642311764705
1246476,0.0
1115406,0.0
2049302,0.0
2794778,0.0
1025309,0.005404575988333334
1115424,0.0
2688288,0.0
3015975,0.0
1115433,0.0
2655534,0.0
1140015,0.0
1492273,0.0
1246515,0.0
3048768,0.0
1099074,0.0
1426755,0.0
1082692,0.0
1123652,0.0
1246533,0.0
1492291,0.0
1123661,0.0
1131853,0.0
1246542,0.0
2950480,0.0
1205585,0.0
2508117,0.0
1123670,3.0982979411764705e-05
3695957,0.0
2721112,0.0
1082731,0.0
1107308,0.0
1099122,0.0
1246579,0.0
1058165,0.0
2114938,0.0
1131899,0.0
1140097,0.0
1205633,0.0
1099140,0.0
2860431,0.0
2442640,0.0
1951127,0.0
2745752,0.0
1082777,0.0
1885594,0.0
2663838,0.0
1140127,0.0
1082786,0.0
2434467,0.0
2246053,0.0
1090987,8.203709277777777e-06
1066414,0.0
2688439,0.0
1205688,1.4397355588235295e-05
3589560,0.0
1140154,0.0
1099195,0.0
2500027,0.0
1082816,0.0
1066441,0.0
1123791,0.0
1246681,0.0
1050075,0.0
2557405,0.0
1140190,0.0
1246690,0.0
1082852,0.0
2557414,0.0
1983977,0.0
1058286,0.0
1246702,0.0023077113142857147
1082870,0.0
2524676,0.0
1025541,0.0
1140239,0.0
2729499,0.0
2934305,0.0
3728930,
1123876,0.0
1984040,0.0
1123885,0.0
1426997,0.0
2950716,0.0
1099328,1.924426944444444e-06
1107522,0.0
1025608,0.0011173167592222223
1132104,0.0
2033226,0.0
1082955,0.0
1123915,0.0
2795083,0.0
1246805,0.0
2385493,0.0
2442837,0.0
1132122,0.0
1123933,0.0
1058398,0.0
1205857,0.0
1140323,0.0
2737766,0.0
2614894,0.0
2524788,0.0
1140341,0.0
1099382,0.0
1951350,0.21407746666666666
1025662,0.0
1132159,0.0
1246850,0.0
3475074,
1427079,0.0
1107595,0.0
2958990,0.0
3212943,0.00032421604187499994
2762384,0.0
2467474,0.0
3016338,0.0
2737814,0.0
3393178,0.0
3114654,0.0
3122846,0.0
3196584,0.0
1205932,0.0
2254508,0.0
1124024,0.0
1099449,0.0
1205950,0.0
2926270,0.0
1427136,0.0
2746049,0.0
1246926,0.0
1132243,0.0
2868950,0.0
1246935,0.0
1066713,0.0
3163867,0.0
1124060,0.0
1246944,0.0
2082532,0.0
2770660,0.0
1205996,0.0
2533100,0.0
2942702,0.0
2524911,0.0
3073779,0.0
1107700,0.0
1967865,0.0
3114748,0.0
1058558,0.0
1132298,0.029145684391666666
2803474,0.0
1427220,0.0
1140510,0.0
2754334,0.0
3229473,0.0
1058594,0.0
1206050,0.0
1918755,0.0
1427239,0.009749743044444445
2074407,0.0
2787118,0.0
1083185,0.0
3155769,0.0
2721596,0.0
2410304,0.0
1124163,0.0
1427275,0.0
2844495,2.8295137e-05
2410322,0.0
1427293,0.0
1132382,0.0
2344799,0.0
3139424,0.0
2672483,0.0
1132391,0.0
2910055,0.0
2467689,9.280896466666667e-05
3147625,0.0
1107821,0.0
2942832,0.0
2615154,0.0
1132403,0.0
1107830,0.0
3180408,0.0
2942850,0.0
1099654,0.0
1247110,0.0
1206153,0.0
1140622,0.0
2746254,0.0
3123094,0.0
1099672,0.0
2344856,0.0
3237786,0.0
1124257,0.0
1132449,0.0020271322887058826
2303910,0.0
2107305,0.0
1099690,0.0
1107885,0.0
3065774,0.0
1042351,0.10316198774999999
1140659,0.0
1075126,0.0
1083318,0.0
1140677,0.0
2623430,0.0
1083336,0.0
1247183,0.0
2516943,0.0
3098576,0.0
2140115,0.0
1492956,0.0
1247204,0.0
1050600,0.00064010144
2484202,0.0
2516970,0.0
2623467,0.0
2508788,3.232862575e-05
2902005,0.0
1099766,0.0
1067000,0.0016656856333333331
2623485,0.0
1247231,0.0
2803719,0.0
1099784,0.0
1083402,0.0
1099793,0.0
1050646,0.0
2754585,0.0
1951770,0.0
1820700,0.0
1107997,0.0
2623524,0.0
1099814,0.0
2336806,0.0
1206313,0.0
1427501,0.0
1099823,0.0
3106864,0.0
1140789,0.0
1902651,0.0
1247295,0.0
2492485,0.0
1108042,0.0
2238544,0.0
1083475,0.0
2148438,0.0
3041367,0.0
1050712,0.0
3180640,0.0
2549857,0.09909872628571428
1427556,0.0
2623588,0.0
1247334,0.0
2721895,0.0
2902117,0.0
2345068,0.0
1132654,0.0012154137117647058
3065970,0.0
2713715,0.0
2820211,0.0
2345077,0.0
1206395,0.0
3188860,0.0
1132672,0.0031945275882352938
1108097,0.0
1247361,0.0
1378434,0.008038827194444445
1099908,0.0007593558700000001
2697347,0.018324345823529407
3434624,0.0
3434633,
1099917,0.0
3049617,0.0
1951891,0.0
2984092,0.0
1902754,0.0
1869987,0.0
2173092,0.133314146
1247398,0.0
2115757,0.0
2123958,0.0
2795702,0.0
1067194,0.0
1124538,0.0
1247419,0.0
1140930,0.0
1083587,0.0
1108163,0.0
1247428,0.0
1099980,0.0
2009294,0.0
3164369,0.0
1132757,0.0
2558167,0.0
1427677,0.0
1132766,0.0
1247455,0.0
1100000,0.0
2762973,0.0
2181341,0.008131328916666666
2148586,0.0
2320618,0.0
3008753,0.0
1083635,0.0
3590388,0.0
3557626,0.003928533683333333
1140994,0.0
1100037,0.0
1124613,0.0
2443526,0.0210839008
2099464,0.0
1206537,0.0
1100046,0.0
1108239,0.0
1132814,0.0
1206546,0.0003477520841176471
2337045,0.0
1083671,0.0
3762457,
1050909,0.0
1083680,0.0
2263331,0.0
2582827,0.0
1075500,0.0
1206573,0.0
2648367,0.0
1976625,0.0
2181426,0.0
1124659,0.0
2337081,0.0
1100091,0.0
2107707,2.2667754897222222e-05
3262779,0.0
1206591,0.0
2836801,0.0
1837379,7.832267000000001e-06
1100112,0.0
1083729,0.0
1247576,0.0
1132896,0.0
3262818,0.0
2410854,0.0
2935142,0.0
3049831,0.0
2263407,0.0
1141106,0.0
1845619,0.0
1108350,0.0
1247615,0.0
2550143,0.0
1083783,0.0
2017673,0.0
3058057,0.0
1206667,0.0
2107789,0.0
2730383,0.0
1100176,0.0
1247633,0.0
1067411,0.0
1206676,0.0
1862036,0.0
1141142,0.0
2836883,0.001007148513
2894230,0.017470656141176467
1075612,0.0
2222495,0.0
1124770,0.0
1247660,0.0
2001328,0.0
2468275,0.0
2066868,0.0
1124789,0.0
2861492,0.0
